Count of noAttack,Column Labels,,,,,,
Row Labels,0,1,Grand Total,D_0,D_1,WOE,IV
icmp,6982,1309,8291,0.119085792,0.019437803,1.812624374,0.180624373
tcp,49089,53600,102689,0.83726761,0.795925337,0.050638361,0.002093505
udp,2559,12434,14993,0.043646597,0.184636859,-1.442265647,0.203345411
Grand Total,58630,67343,125973,,,,0.386063289
,,,,,,,
,,,,,,,
Count of noAttack,Column Labels,,,,,,
Row Labels,0,1,Grand Total,D_0,D_1,WOE,IV
aol,2,,2,3.41122E-05,0,0,0
auth,719,236,955,0.012263346,0.003504447,1.252582005,0.010971239
bgp,710,,710,0.012109841,0,0,0
courier,734,,734,0.012519188,0,0,0
csnet_ns,545,,545,0.009295582,0,0,0
ctf,563,,563,0.009602593,0,0,0
daytime,521,,521,0.008886236,0,0,0
discard,538,,538,0.00917619,0,0,0
domain,531,38,569,0.009056797,0.000564275,2.775728313,0.023572932
domain_u,9,9034,9043,0.000153505,0.134149058,-6.772973487,0.907548326
echo,434,,434,0.007402354,0,0,0
eco_i,4089,497,4586,0.069742453,0.007380129,2.246018146,0.140066912
ecr_i,2887,190,3077,0.049241003,0.002821377,2.859501559,0.132736992
efs,485,,485,0.008272216,0,0,0
exec,474,,474,0.008084598,0,0,0
finger,1222,545,1767,0.020842572,0.008092898,0.946010797,0.01206133
ftp,836,918,1754,0.014258912,0.013631706,0.044983674,2.8214E-05
ftp_data,1876,4984,6860,0.031997271,0.074009177,-0.838538479,0.0352286
gopher,518,,518,0.008835067,0,0,0
harvest,2,,2,3.41122E-05,0,0,0
hostnames,460,,460,0.007845813,0,0,0
http,2289,38049,40338,0.039041446,0.565003044,-2.67220731,1.405478426
http_2784,1,,1,1.70561E-05,0,0,0
http_443,530,,530,0.009039741,0,0,0
http_8001,2,,2,3.41122E-05,0,0,0
imap4,644,3,647,0.010984138,4.45481E-05,5.507638889,0.06025131
IRC,1,186,187,1.70561E-05,0.00276198,-5.087194222,0.013963959
iso_tsap,687,,687,0.011717551,0,0,0
klogin,433,,433,0.007385298,0,0,0
kshell,299,,299,0.005099778,0,0,0
ldap,410,,410,0.006993007,0,0,0
link,475,,475,0.008101654,0,0,0
login,429,,429,0.007317073,0,0,0
mtp,439,,439,0.007487634,0,0,0
name,451,,451,0.007692308,0,0,0
netbios_dgm,405,,405,0.006907726,0,0,0
netbios_ns,347,,347,0.005918472,0,0,0
netbios_ssn,362,,362,0.006174313,0,0,0
netstat,360,,360,0.006140201,0,0,0
nnsp,630,,630,0.010745352,0,0,0
nntp,296,,296,0.00504861,0,0,0
ntp_u,,168,168,0,0.002494691,0,0
other,1755,2604,4359,0.029933481,0.038667716,-0.256027416,0.002236204
pm_dump,5,,5,8.52806E-05,0,0,0
pop_2,78,,78,0.001330377,0,0,0
pop_3,78,186,264,0.001330377,0.00276198,-0.730485395,0.001045765
printer,69,,69,0.001176872,0,0,0
private,20871,982,21853,0.355978168,0.014582065,3.195077058,1.090786857
red_i,,8,8,0,0.000118795,0,0
remote_job,78,,78,0.001330377,0,0,0
rje,86,,86,0.001466826,0,0,0
shell,61,4,65,0.001040423,5.93974E-05,2.863131955,0.002808806
smtp,284,7029,7313,0.004843937,0.104376104,-3.070273037,0.305590931
sql_net,245,,245,0.004178748,0,0,0
ssh,306,5,311,0.005219171,7.42468E-05,4.252699641,0.021879818
sunrpc,381,,381,0.00649838,0,0,0
supdup,544,,544,0.009278526,0,0,0
systat,477,,477,0.008135767,0,0,0
telnet,1436,917,2353,0.024492581,0.013616857,0.587061729,0.006384721
tftp_u,,3,3,0,4.45481E-05,0,0
tim_i,3,5,8,5.11683E-05,7.42468E-05,-0.372273172,8.59148E-06
time,578,76,654,0.009858434,0.001128551,2.16739298,0.018921088
urh_i,,10,10,0,0.000148494,0,0
urp_i,3,599,602,5.11683E-05,0.008894763,-5.158096858,0.045616116
uucp,780,,780,0.013303769,0,0,0
uucp_path,689,,689,0.011751663,0,0,0
vmnet,617,,617,0.010523623,0,0,0
whois,693,,693,0.011819887,0,0,0
X11,6,67,73,0.000102337,0.000994907,-2.274380698,0.002030044
Z39_50,862,,862,0.014702371,0,0,0
Grand Total,58630,67343,125973,,,,4.239217182
