,VIF Factor,features
0,0.0,Intercept
1,7.550281897069473,noAttack
2,1.0295467490651444,land
3,14.925912960862227,logged_in
4,1.6414529868757193,root_shell
5,2.2094425816430987,su_attempted
6,1.0007889467621507,is_host_login
7,6.276314602872251,is_guest_login
8,76984609014880.28,flag_OTH
9,9007199254740992.0,flag_REJ
10,1501199875790165.2,flag_RSTO
11,142971416741920.5,flag_RSTOS0
12,4503599627370496.0,flag_RSTR
13,inf,flag_S0
14,529835250278881.9,flag_S1
15,500399958596721.75,flag_S2
16,474063118670578.5,flag_S3
17,9007199254740992.0,flag_SF
18,290554814669064.25,flag_SH
19,inf,protocol_type_icmp
20,inf,protocol_type_tcp
21,inf,protocol_type_udp
22,inf,service_IRC
23,3002399751580330.5,service_X11
24,inf,service_Z39_50
25,643371375338642.2,service_aol
26,inf,service_auth
27,inf,service_bgp
28,inf,service_courier
29,inf,service_csnet_ns
30,inf,service_ctf
31,inf,service_daytime
32,inf,service_discard
33,inf,service_domain
34,inf,service_domain_u
35,inf,service_echo
36,inf,service_eco_i
37,inf,service_ecr_i
38,inf,service_efs
39,inf,service_exec
40,643371375338642.2,service_finger
41,9007199254740992.0,service_ftp
42,inf,service_ftp_data
43,inf,service_gopher
44,1125899906842624.0,service_harvest
45,inf,service_hostnames
46,inf,service_http
47,360287970189639.7,service_http_2784
48,inf,service_http_443
49,163767259177108.94,service_http_8001
50,inf,service_imap4
51,inf,service_iso_tsap
52,inf,service_klogin
53,inf,service_kshell
54,inf,service_ldap
55,inf,service_link
56,inf,service_login
57,inf,service_mtp
58,inf,service_name
59,inf,service_netbios_dgm
60,inf,service_netbios_ns
61,inf,service_netbios_ssn
62,inf,service_netstat
63,inf,service_nnsp
64,inf,service_nntp
65,inf,service_ntp_u
66,inf,service_other
67,3002399751580330.5,service_pm_dump
68,inf,service_pop_2
69,inf,service_pop_3
70,inf,service_printer
71,inf,service_private
72,inf,service_red_i
73,inf,service_remote_job
74,inf,service_rje
75,9007199254740992.0,service_shell
76,inf,service_smtp
77,9007199254740992.0,service_sql_net
78,inf,service_ssh
79,inf,service_sunrpc
80,inf,service_supdup
81,inf,service_systat
82,inf,service_telnet
83,1000799917193443.5,service_tftp_u
84,9007199254740992.0,service_tim_i
85,inf,service_time
86,4503599627370496.0,service_urh_i
87,inf,service_urp_i
88,inf,service_uucp
89,inf,service_uucp_path
90,inf,service_vmnet
91,inf,service_whois
92,1.5442278903285587,duration
93,1.0442810185244251,src_bytes
94,1.0015978375382673,dst_bytes
95,1.3357952215788105,wrong_fragment
96,1.0235719191961308,urgent
97,3.964747393146491,hot
98,1.055765175300093,num_failed_logins
99,1.2056747709179507,num_root
100,1.0623859157853819,num_file_creations
101,1.0264068251430727,num_shells
102,1.5303209543424765,num_access_files
103,4.600720475406925,count
104,4.509209910962981,srv_count
105,68.67498874841179,serror_rate
106,52.1372406963963,rerror_rate
107,1.7240684078234854,diff_srv_rate
108,1.6766032669572535,srv_diff_host_rate
109,2.1957538106968038,dst_host_count
110,6.15967538789527,dst_host_srv_count
111,2.6650300281219605,dst_host_diff_srv_rate
112,3.4168947469309825,dst_host_same_src_port_rate
113,2.374839214909112,dst_host_srv_diff_host_rate
